구ID,신ID,대분류,중분류,비고
AUTH-01,AU01,이용대상,가입/진입,
AUTH-02,AU02,가입 약관,필수 동의,
AUTH-03,AU03,가입 약관,선택 동의,
AUTH-04,AU04,서비스 해지,자진 탈퇴,
STATUS-01,ST01,상태 및 용어,활동 상태 (접속),
STATUS-02,ST02,상태 및 용어,몰입 상태,
STATUS-03,ST03,상태 및 용어,휴식(세션 참여),
STATUS-04,ST04,상태 및 용어,미참여,
SIDE-H-01,SH01,사이드바(홈),명언,
SIDE-G-01,SG01,사이드바(그룹방),작업 공개여부 설정,
SIDE-C-01,SD01,사이드바 (공통),프로필 캐릭터,
SIDE-C-02,SD02,사이드바 (공통),작업 설정,
SIDE-C-03,SD03,사이드바 (공통),작업 달성률,
SIDE-C-04,SD04,사이드바 (공통),작업 누적 시건,
SIDE-C-05,SD05,사이드바 (공통),개인 타이머 강제 종료,
TIMER-01,TM01,개인타이머,시작 조건,
TIMER-02,TM02,개인타이머,누적 반영,
HOME-01,HM01,홈-그룹목록,목록 API,
HOME-02,HM02,홈-그룹목록,라운지 실시간,
HOME-03,HM03,홈-그룹목록,빈/로딩,
HOME-04,HM04,홈-그룹목록,생성 CTA,
HOME-05,HM05,홈-그룹목록,생성 후 초대,
GROUP-H01,GH01,홈-그룹목록,몰입/휴식 배지,
GROUP-H02,GH02,홈-그룹목록,인원 표시,
GROUP-H03,GH03,홈-그룹목록,프로필 5+n,
GROUP-S01,GS01,홈-그룹목록,일반 그룹 입장,
LOUNGE-03,LN03,홈-그룹목록,라운지 입장,
GROUP-L01,GL01,홈-그룹목록,그룹 탈퇴,
GROUP-M01,GM01,홈-그룹목록,방장 뱃지,
MATE-01,MT01,홈-메이트,목록,
LOUNGE-12,LN15,홈-메이트,그룹 필터,
MATE-02,MT02,홈-메이트,검색,
POKE-01,PK01,홈-메이트,콕 찌르기,
LOUNGE-01,LN01,공식라운지,정체,
LOUNGE-02,LN02,공식라운지,정원,
LOUNGE-03,LN03,공식라운지,입장,
LOUNGE-04,LN04,공식라운지,퇴장,
LOUNGE-05,LN05,공식라운지,홈 UI,
LOUNGE-06,LN06,공식라운지,참여상태,
LOUNGE-07,LN07,공식라운지,페이지 상단 기능,
LOUNGE-08,LN08,공식라운지,집중체크,
LOUNGE-09,LN09,공식라운지,집중체크 수신,
LOUNGE-10,LN10,공식라운지,응원,
LOUNGE-11,LN11,공식라운지,초대,
LOUNGE-12,LN12,공식라운지,초대 링크,
LOUNGE-13,LN13,공식라운지,멤버카드,
LOUNGE-14,LN14,공식라운지,멤버카드 lastActiveAt,
LOUNGE-15,LN15,공식라운지,메이트 필터,
LOUNGE-16,LN16,공식라운지,입장 거절 로그,
GROUP-01,GR01,그룹방_생성,생성 필드,
GROUP-02,GR02,그룹방_생성,기본값,
GROUP-03,GR03,그룹방_생성,방장 부여,
GROUP-J01,GJ01,그룹방_가입,링크 가입,
GROUP-J02,GJ02,그룹방_가입,내부 초대,
GROUP-J03,GJ03,그룹방_가입,정원 강제,
GROUP-J04,GJ04,그룹방_가입,초대 권한,
GROUP-S01,GS01,그룹방_세션,입장,
GROUP-S02,GS02,그룹방_세션,세션 퇴장,
GROUP-S03,GS03,그룹방_세션,탭 종료,
GROUP-L01,GL01,그룹방_탈퇴,일반 멤버 (방장 외),
GROUP-L02,GL02,그룹방_탈퇴,방장,
GROUP-L03,GL03,그룹방_탈퇴,유저 단독으로 있을 때,
GROUP-L04,GL04,그룹방_방장 이양,확인,
GROUP-M01,GM01,그룹방_관리,이름/이미지,
GROUP-M02,GM02,그룹방_관리,집중체크 알림,
GROUP-M03,GM03,그룹방_관리,집중체크 수신자,
GROUP-M04,GM04,그룹방_관리,그룹 목표,
